blockNumber,blockHash,timeStamp,hash,nonce,transactionIndex,from,to,value,gas,gasPrice,input,methodId,functionName,contractAddress,cumulativeGasUsed,txreceipt_status,gasUsed,confirmations,isError,eth_value,eth_gas_cost,day_of_week,hour
12288433.0,0xfd401add98379d29f97190614d44482c7bd5d769c004c4bea40d6cf858ce0623,2021-04-22 06:34:00,0x7671e86accfb3cd75a9000e2d7eabced7fedab72aadeb93a4232cf1729b4e219,5484.0,242,0x00799bbc833d5b168f0410312d2a8fd9e0e3079c,0x28c6c06298d514db089934071355e5743bf21d60,1e+18,21000.0,134000000000.0,0x,0x,,,12676579,1,21000.0,11516227,0,1.0,0.002814,Thursday,6
12289797.0,0x6a1b817dce419afd3846ee3c10efd30fe82fc39271cc22d08b24079b2262171d,2021-04-22 11:43:23,0xd5d0587189f3411699ae946baa2a7d3ebfaf13133f9014a22bab6948591611ad,0.0,14,0x28c6c06298d514db089934071355e5743bf21d60,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0.0,207128.0,146000000000.0,0xa9059cbb000000000000000000000000b7b544f4fcb62941f8d6fbcc61e0265c6ae446260000000000000000000000000000000000000000000000089e917994f71c0000,0xa9059cbb,"transfer(address _to, uint256 _value)",,752916,1,54479.0,11514863,0,0.0,0.007953934,Thursday,11
12289869.0,0x96f7b62e8886aa13fe673b2c3863b8ceaeecc9c44c892314ecfbd29c00e2d285,2021-04-22 12:00:34,0x4f1cb80ecf1475dc83a3a13d30bc3b760fafbdb620cc506b168843859cb75da6,1.0,11,0x28c6c06298d514db089934071355e5743bf21d60,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0.0,207128.0,144000000000.0,0xa9059cbb000000000000000000000000b7b544f4fcb62941f8d6fbcc61e0265c6ae446260000000000000000000000000000000000000000000000089e917994f71c0000,0xa9059cbb,"transfer(address _to, uint256 _value)",,476589,1,37379.0,11514791,0,0.0,0.005382576,Thursday,12
12289869.0,0x96f7b62e8886aa13fe673b2c3863b8ceaeecc9c44c892314ecfbd29c00e2d285,2021-04-22 12:00:34,0xacf20ea5f5134831a6e7eadfe239e9c6d345e280963dba1fe50c7f3e237ddf2c,2.0,12,0x28c6c06298d514db089934071355e5743bf21d60,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0.0,207128.0,144000000000.0,0xa9059cbb000000000000000000000000b7b544f4fcb62941f8d6fbcc61e0265c6ae446260000000000000000000000000000000000000000000000089e917994f71c0000,0xa9059cbb,"transfer(address _to, uint256 _value)",,513968,1,37379.0,11514791,0,0.0,0.005382576,Thursday,12
12289869.0,0x96f7b62e8886aa13fe673b2c3863b8ceaeecc9c44c892314ecfbd29c00e2d285,2021-04-22 12:00:34,0x19c4f50090c7e4fa6c99d0b36f31bcdee93acbf9b1bb0d9e05689adf8715d993,3.0,13,0x28c6c06298d514db089934071355e5743bf21d60,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0.0,207128.0,144000000000.0,0xa9059cbb000000000000000000000000b7b544f4fcb62941f8d6fbcc61e0265c6ae446260000000000000000000000000000000000000000000000089e917994f71c0000,0xa9059cbb,"transfer(address _to, uint256 _value)",,551347,1,37379.0,11514791,0,0.0,0.005382576,Thursday,12
12290430.0,0xa19ece23b69d23fa4fd698db83d235efc85270763912baeec010545ba35c8942,2021-04-22 13:59:57,0xc52db5ea1e8339109218856f94725c79a6f7d77c42c136af96350f2c5b767f6b,4.0,40,0x28c6c06298d514db089934071355e5743bf21d60,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0.0,207128.0,485000000000.0,0xa9059cbb00000000000000000000000021a31ee1afc51d94c2efccaa2092ad102828554900000000000000000000000000000000000000000000001eed47275c885a0000,0xa9059cbb,"transfer(address _to, uint256 _value)",,4843644,1,37379.0,11514230,0,0.0,0.018128815,Thursday,13
12290470.0,0x841f531e13c61915d7a0896a14eb58e7abf5d02702fff10bf3c46ed7708a3793,2021-04-22 14:05:57,0x6ea1e697d9d45db0b102234d8b7cebdfe4c192e37c1b04e37f31a784f1e9039c,5.0,21,0x28c6c06298d514db089934071355e5743bf21d60,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0.0,207128.0,600000000000.0,0xa9059cbb00000000000000000000000021a31ee1afc51d94c2efccaa2092ad1028285549000000000000000000000000000000000000000000000019a43191f047c40000,0xa9059cbb,"transfer(address _to, uint256 _value)",,1081183,1,37379.0,11514190,0,0.0,0.0224274,Thursday,14
12290470.0,0x841f531e13c61915d7a0896a14eb58e7abf5d02702fff10bf3c46ed7708a3793,2021-04-22 14:05:57,0xbbdcb7ac2e6d8309780ed66e23aa0cbe9ed671aa27de23e94eeb4ab2331f6754,6.0,22,0x28c6c06298d514db089934071355e5743bf21d60,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0.0,207128.0,600000000000.0,0xa9059cbb00000000000000000000000021a31ee1afc51d94c2efccaa2092ad1028285549000000000000000000000000000000000000000000000019a43191f047c40000,0xa9059cbb,"transfer(address _to, uint256 _value)",,1118562,1,37379.0,11514190,0,0.0,0.0224274,Thursday,14
12313591.0,0x47f18075f9bdfbe0e996456152281c447e2f43e1d98df3a2fa4fe522964f6fed,2021-04-26 03:48:50,0x57c9ed2a841e8a43363b44ab9be0ca942e343b61dc51410f8ac848172a9033aa,7.0,0,0x28c6c06298d514db089934071355e5743bf21d60,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0.0,207128.0,120000000000.0,0xa9059cbb000000000000000000000000b7b544f4fcb62941f8d6fbcc61e0265c6ae4462600000000000000000000000000000000000000000000000a4cc799563c380000,0xa9059cbb,"transfer(address _to, uint256 _value)",,37379,1,37379.0,11491069,0,0.0,0.00448548,Monday,3
12313593.0,0xfb20cae54d9d2f45f9c388719b4ebecb1e7f79fb0006b41630adfee77d2b19fc,2021-04-26 03:49:05,0x04fa93be4c749b0036d8eb39a2cb2d2166047a9bce59359e16da11c0566cfe9c,8.0,21,0x28c6c06298d514db089934071355e5743bf21d60,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0.0,207128.0,120000000000.0,0xa9059cbb000000000000000000000000b7b544f4fcb62941f8d6fbcc61e0265c6ae4462600000000000000000000000000000000000000000000000a4cc799563c380000,0xa9059cbb,"transfer(address _to, uint256 _value)",,2394664,1,37379.0,11491067,0,0.0,0.00448548,Monday,3
12313593.0,0xfb20cae54d9d2f45f9c388719b4ebecb1e7f79fb0006b41630adfee77d2b19fc,2021-04-26 03:49:05,0x127bb4c3a4afd4b605d3f8ae5068373dbcf96d7a7fdc96a6a70b12bb4ab91448,9.0,22,0x28c6c06298d514db089934071355e5743bf21d60,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0.0,207128.0,120000000000.0,0xa9059cbb000000000000000000000000b7b544f4fcb62941f8d6fbcc61e0265c6ae4462600000000000000000000000000000000000000000000000a4cc799563c380000,0xa9059cbb,"transfer(address _to, uint256 _value)",,2432043,1,37379.0,11491067,0,0.0,0.00448548,Monday,3
12313786.0,0x630d8dc825434f08e02d3787eb33e6c671c8fe2c8ae4a5f0a3dc3cf748f33504,2021-04-26 04:28:59,0x4543afe06b1b0fe43d8d6d76bce63f61a979e8d561885356c3338c4427027937,4497.0,111,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,1e+19,21000.0,45000000000.0,0x,0x,,,5168039,1,21000.0,11490874,0,10.0,0.000945,Monday,4
